Keep;Column;Value
False;PropertyType;TRAIN STATION - CONCOURSE
False;PropertyType;TRAIN STATION - ELSEWHERE
False;PropertyType;TRAIN STATION - PLATFORM (AT GROUND LEVEL OR ELEVATED)
False;PropertyType;TRAIN STATION - PLATFORM (BELOW GROUND)
False;PropertyType;TRAINS - ENGINE SHED
True;PropertyType;TRAM
False;PropertyType;TRAVEL AGENT
False;PropertyType;TREE SCRUB
False;PropertyType;TUNNEL/ SUBWAY
False;PropertyType;TV/FILM/MUSIC/ART STUDIO
False;PropertyType;UNDERGROUND CAR PARK
False;PropertyType;UNDERGROUND TRAIN : OTHER SYSTEM
True;PropertyType;UNLICENSED HOUSE IN MULTIPLE OCCUPATION - 3 OR MORE STOREYS
True;PropertyType;UNLICENSED HOUSE IN MULTIPLE OCCUPATION - UP TO 2 STOREYS
True;PropertyType;VAN
True;PropertyType;VEHICLE REPAIR WORKSHOP
False;PropertyType;VEHICLE SALES BUILDING
False;PropertyType;VETERINARY SURGERY
False;PropertyType;WAREHOUSE
False;PropertyType;WASTELAND
False;PropertyType;WATER WORKS
True;PropertyType;WHEELIE BIN (DOMESTIC SIZE)
False;PropertyType;WOODLAND/FOREST - BROADLEAF/HARDWOOD
False;PropertyType;WOODLAND/FOREST - CONIFERS/SOFTWOOD
True;PropertyType;YOUNG OFFENDERS UNIT
False;PropertyType;YOUTH HOSTEL
False;PropertyType;ZOO
True;StopCode;CHIMNEY FIRE
True;StopCode;LATE CALL
True;StopCode;PRIMARY FIRE
True;StopCode;SECONDARY FIRE
True;StopCode;SST-ADVICE ONLY
True;StopCode;SST-ANIMAL ASSISTANCE INCIDENTS
True;StopCode;SST-ASSIST OTHER AGENCIES
True;StopCode;SST-EFFECTING ENTRY/EXIT
True;StopCode;SST-EVACUATION (NO FIRE)
True;StopCode;SST-FLOODING
True;StopCode;SST-HAZARDOUS MATERIALS INCIDENT
True;StopCode;SST-LIFT RELEASE
True;StopCode;SST-MAKING SAFE (NOT RTC)
True;StopCode;SST-MEDICAL INCIDENT - CO-RESPONDER
True;StopCode;SST-MEDICAL INCIDENT
True;StopCode;SST-NO ACTION (NOT FALSE ALARM)
True;StopCode;SST-OTHER RESCUE/RELEASE OF PERSONS
True;StopCode;SST-OTHER TRANSPORT INCIDENT
True;StopCode;SST-REMOVAL OF OBJECTS FROM PEOPLE
True;StopCode;SST-RESCUE OR EVACUATION FROM WATER
True;StopCode;SST-RTC
True;StopCode;SST-SPILLS AND LEAKS (NOT RTC)
True;StopCode;SST-STAND BY
True;StopCode;SST-SUICIDE/ATTEMPTS
True;StopCode;SST-WATER PROVISION
